epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.3162,1.28358,1.37897,1.21238,0.72031,0.42679,0.46718,0.36816,0.92393,0.9331,1.01476,2.023e-05,2.023e-05,2.023e-05
2,93.8305,1.11698,1.06598,1.11158,0.92915,0.37287,0.43848,0.33754,0.95732,0.89919,1.02274,3.75266e-05,3.75266e-05,3.75266e-05
3,140.209,1.03585,0.95082,1.07517,0.91873,0.35397,0.41749,0.3242,0.91251,0.84005,1.00472,5.05821e-05,5.05821e-05,5.05821e-05
4,187.06,1.02078,0.85614,1.07649,0.92055,0.36288,0.4766,0.36063,0.91918,0.80962,1.00052,5.93965e-05,5.93965e-05,5.93965e-05
5,233.23,0.97485,0.80631,1.0556,0.82638,0.40174,0.47692,0.3676,0.9142,0.78352,0.99748,6.39696e-05,6.39696e-05,6.39696e-05
6,279.65,0.97038,0.78922,1.03899,0.80741,0.39644,0.46841,0.36938,0.90706,0.75569,0.99725,6.0095e-05,6.0095e-05,6.0095e-05
7,325.845,0.97886,0.79041,1.04156,0.82439,0.38664,0.4674,0.36747,0.89929,0.74205,0.99595,4.8314e-05,4.8314e-05,4.8314e-05
8,371.937,0.95387,0.73422,1.03572,0.81772,0.39629,0.46967,0.37143,0.88535,0.73195,0.99112,3.6533e-05,3.6533e-05,3.6533e-05
9,418.329,0.94485,0.77002,1.02701,0.82439,0.42405,0.49552,0.38046,0.87397,0.73037,0.9857,2.4752e-05,2.4752e-05,2.4752e-05
10,464.735,0.94392,0.7588,1.03646,0.86215,0.43183,0.50509,0.38142,0.86427,0.71516,0.982,1.2971e-05,1.2971e-05,1.2971e-05
